Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
172,DISHANA INDIA FOUNDATION,"U86909JH2023NPL020366
SAHEBGANJ (Jharkhand)","C/O AMIT KUMAR BATESHWAR RABIDAS SUKHA BASTI BALIGUMA NH-33DIHNA MANGO SUKNABASTI BHILAIPAHARI DHALBHUM JAMSHEDPUR EASTSINGHBHUM JHARKHAND, JHARKHAND, SAHEBGANJ (Jharkhand) - 831012",--
173,DIVERSIFY EDUCATION SUPPORT FOUNDATION,"U85500JH2025NPL025417
RANCHI (Jharkhand)","C/O MD IQUEBAL ALAM,ALI, BARIYATU BASTI,KOK-2,RMCH, Bariatu,Ranchi, Kanke, RANCHI (Jharkhand) - 834009","Education & Literacy, Health & Family Welfare"
174,DIVY SEVA FOUNDATION,"U85300JH2022NPL019327
KODERMA (Jharkhand)","AT DANDADIH PO DANDADIH PS JAINAGAR DIST KODERMA JHARKHAND, Koderma, KODERMA (Jharkhand) - 825109","Agriculture, Children, Education & Literacy, Rural Development & Poverty Alleviation, Women's Development & Empowerment"
175,DIVYANG PARIVARTAN FOUNDATION,"U85300JH2021NPL016113
RAMGARH (Jharkhand)","C/O ABDUL KADIR, PODIGWAR P/S MANDU ,DIST RAMGARH, RAMGARH, Hazaribagh, Jharkhand, India, 829117, RAMGARH, RAMGARH (Jharkhand) - 829117",--
176,DIYA AUR BAATI FOUNDATION,"U88900JH2025NPL024923
RANCHI (Jharkhand)","VILLAGE- PRAGATI NAGAR,OBARIYA ROAD HATIA ,HATIA, Namkum, RANCHI (Jharkhand) - 834003","Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Nutrition, Science & Technology, Sports, Tourism, Tribal Affairs, Vocational Training, Women's Development & Empowerment"
177,DMVV BHARTIY MAHILA SHAKTI FOUNDATION,"U85100JH2022NPL018961
DHANBAD (Jharkhand)","H.N0-17,BRHAMANDIHA,TOPCHANCHI,DHANBAD,JHARKHAND828402, DHANBAD, DHANBAD (Jharkhand) - 828402","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
178,DNS FOUNDATION,"U80301JH2021NPL017347
RANCHI (Jharkhand)","Door No 2, 4B, Crindawan Apartment, BK Sahay Compound, Tharpakna, Ranchi, RANCHI (Jharkhand) - 834001",--
179,DOQUICK SERVICES PRIVATE LIMITED,"U74999JH2016PTC008705
RANCHI (Jharkhand)","ISM CHOWKPUNDAG, RANCHIJHARKHAND 834004, RANCHI, RANCHI (Jharkhand) - 834004",--
180,DR RABINDRA USHA SINGH CHARITABLE FOUNDATION,"U85300JH2021NPL017348
BOKARO (Jharkhand)","BERMO,PHUSRO,BOKARO (JHARKHAND), BOKARO, BOKARO (Jharkhand) - 829144",--
181,DRISTISUKH SOCIAL WELFARE FOUNDATION,"020632
BOKARO (Jharkhand)","H. NO.-114/A UPPER BAZAR, BHOJUDIH, BOKARO, BOKARO (Jharkhand) - 828303",--
182,DUNGRI SEVA FOUNDATION,"U85500JH2024NPL023476
BOKARO (Jharkhand)","C/O-Durga Charan Mahato, Dungritand, Chas, Chas Bokaro, Chas, Bokaro- 827013, Jharkhand, Chas, BOKARO (Jharkhand) - 827013","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Children, Differently Abled, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Skill Development, Sports, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
183,DUTTA FAMILY FOUNDATION,"U88900JH2023NPL020442
DHANBAD (Jharkhand)","SIBLIBARI,Kumardhubi,Dhanbad,Dhanbad-828203,Jharkhand, DHANBAD, DHANBAD (Jharkhand) - 828203",--
184,EARTHSAKHA FOUNDATION,"U88900JH2025NPL024302
GODDA (Jharkhand)","105e Godhi Ghat ward No-9, Near Madhya Vidhalay, Godda, Godda, Godda- 814133, Jharkhand, Godda, GODDA (Jharkhand) - 814133","Agriculture, Animal Welfare, Art & Culture, Children, Differently Abled, Disaster Management, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Skill Development, Women's Development & Empowerment, Youth Affairs"
185,ECOKHETI FOUNDATION,"U88900JH2025NPL024772
RANCHI (Jharkhand)","S/O RAM LAKHAN PD B 125, CONCOP COLONY KATHALMORE, Gutua, Ranchi, Ratu, Jharkhand, India, 835303., Ratu, RANCHI (Jharkhand) - 835303","Agriculture, Animal Welfare, Disaster Management, Education & Literacy, Environment & Forests, Human Rights, Land Resources, Skill Development, Sports, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment"
186,Ecoserve Development Foundation,"U88900JH2025NPL023882
RANCHI (Jharkhand)","EWS 80, PS Argora, Harmu Housing Colony, Ranchi 834002, Jharkhand, Kanke, RANCHI (Jharkhand) - 834002","Agriculture, Art & Culture, Children, Civic Issues, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Information & Communication Technology, New & Renewable Energy, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment, Youth Affairs"
187,EDBLUME RESEARCH FOUNDATION,"U85499JH2025NPL025168
EAST SINGHBUM (Jharkhand)","H No-66, Road No-3, Kagal Nagar, Jamshedpur, Sonari, East Singhbhum- 831011,, Golmuri-Cum-Jugsalai, EAST SINGHBUM (Jharkhand) - 831011","Education & Literacy, Skill Development"
188,EDENWOODS EDUHUB FOUNDATION,"U85500JH2024NPL022774
HAZARIBAGH (Jharkhand)","kolghatti , near black tank , reformatory school , hazaribagh, Hazaribag, HAZARIBAGH (Jharkhand) - 825319",Education & Literacy
189,EDUHORIZON INITIATIVE FOUNDATION,"U85499JH2025NPL024570
RANCHI (Jharkhand)","C/O- MR. SAMUEL SANDIL, SUSHIL NIWAS IST FLOOR, OLD A. G. COLONY, KADRU, DORANDA, RANCHI- 834002, JHARKHAND, Namkum, RANCHI (Jharkhand) - 834002","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Information & Communication Technology, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
190,EDUTRIBES FOUNDATION,"U85300JH2022NPL019003
RANCHI (Jharkhand)","FLAT NO E-1 VATIKA APARTMENT 2ND FLOOR LINE TANK TALAB ROAD RANCHI Ranchi JH 834001 IN, RANCHI, RANCHI (Jharkhand) - 834001",--
191,EEDAM HEALTH AND EDUCATION COUNCIL,"U88900JH2025NPL024180
BOKARO (Jharkhand)","C/o Vidya Devi, Jhopri Colony, Siwandih, B.S.City Plant, Chas, Bokaro-827011, Jharkhand, Chas, BOKARO (Jharkhand) - 827011","Education & Literacy, Health & Family Welfare"
192,EEDENWORLD EDU REFORM FOUNDATION,"U85212JH2023NPL020272
RANCHI (Jharkhand)","C/O PINKEY PRAVEENTA TIGGA, TIKRA TOLI, PISKA NAGRI, RANCHI, RATU, JHARKHAND, INDIA, 835303, Nagri, RANCHI (Jharkhand) - 835303",Education & Literacy
193,Eiya foundation,"U85300JH2021NPL017494
HAZARIBAGH (Jharkhand)","C/o Sudhir Nath Mishra. Kh. no.54, khesra no.436 Near Anganbadi KendraChoutha, Bushungarh, Hazaribagh, Hazaribagh, Jharkhand, India, 825312, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825312",--
194,EK NAYE SURUWAT FOUNDATION,"U88900JH2025NPL025283
RANCHI (Jharkhand)","C/O-Rani Kumari,H No 6, Bramchari Nagar, Kanke Road, Kanke, RANCHI (Jharkhand) - 834008","Children, Differently Abled, Disaster Management, Education & Literacy, Food Processing, Health & Family Welfare, Human Rights, Labour & Employment, Land Resources, Minority Issues, Nutrition, Skill Development, Sports, Tourism, Vocational Training, Women's Development & Empowerment"
195,EKALAM FOUNDATION,"U85500JH2024NPL022667
RANCHI (Jharkhand)","4th Floor, Roshpa Tower, Main Road, Ranchi G.p.o., Ranchi, Jharkhand, India, 834001, Ranchi, RANCHI (Jharkhand) - 834001",--
196,ELEGANZ SOCIAL WELFARE FOUNDATION,"U85490JH2025NPL023929
SIMDEGA (Jharkhand)","HOLY CHRISH SCHOOL, NAIGAM TOLI SIMDEGA, Simdega, Simdega, Simdega- 835223, Jharkhand, SIMDEGA, SIMDEGA (Jharkhand) - 835223",--
197,ENATIX FOUNDATION,"U85220JH2025NPL024903
BOKARO (Jharkhand)","C/O SHRI B S SHRIWASTAVA, 59 COOPERATIVE COLONY, BOKARO STEEL CITY, BOKARO, JHARKHAND,827001, Chas, BOKARO (Jharkhand) - 827001","Education & Literacy, Environment & Forests"
198,Enriching Lives Inspiring Minds Foundation,"U85320JH2017NPL009845
DUMKA (Jharkhand)","Village Dubaidhi, PO Kalajhar PS Kathikund, Dumka, DUMKA (Jharkhand) - 814103",--
199,ENVIRONMENTAL UBUNTU FOUNDATION,"U85300JH2019NPL012988
BOKARO (Jharkhand)","plot no-089, co oprative colony, BOKARO STEEL CITY, BOKARO (Jharkhand) - 827001",--
200,EO RANCHI ENTREPRENEURS FORUM,"U85300JH2022NPL019309
RANCHI (Jharkhand)","C/o Premsons Motor Udyog Private Limited, Main Road, Kadru, Opposite Hotel Radisson Blu, Ranchi, RANCHI (Jharkhand) - 834001",--
201,ETERNAL DEDICATION FOUNDATION,"U85500JH2023NPL021507
RANCHI (Jharkhand)","ETERNAL DEDICATION FOUNDATION W/O RAMESHWAR VERMA, RAT, NEW SHASTRI NAGAR, MADHUK, Hehal, Ranchi, Ranchi- 834005, Jharkhand, RANCHI, RANCHI (Jharkhand) - 834005",--
202,Eternal Peace Foundation,"U85300JH2021NPL016621
RANCHI (Jharkhand)","C/o Nishant Akhouri, New Anand Nagar, Kishoreganj, Harmu Road, Ranchi, Ranchi, RANCHI (Jharkhand) - 834001",--
203,ETHNIC ARTS AND FABRIC FOUNDATION,"U88900JH2025NPL024718
EAST SINGHBUM (Jharkhand)","SHOP 1, H.NO 71, NEAR MIDDLE SCHOOL, BAMANGORA, P.O. SARJAMDA, P.S. PARSUDIH, JAMSHEDPUR, Golmuri-Cum-Jugsalai, EAST SINGHBUM (Jharkhand) - 831002","Animal Welfare, Art & Culture, Information & Communication Technology, Skill Development, Women's Development & Empowerment"
204,EVENINGLIFE CARE FOUNDATION,"U85500JH2023NPL020203
DHANBAD (Jharkhand)","H.NO. 67A SUNDAR NAGAR NEAR JORAPOKHAR,AR JORAPOKHAR,Jealgora,Dhanbad,Dhanbad-828110, JEALGORA, DHANBAD (Jharkhand) - 828110",--
205,EVERGREEN EDUCATION & MEDICARE FOUNDATION,"U85100JH2024NPL023434
RANCHI (Jharkhand)","H/o Mojib Ali, 46 Kanke,Chandwey, Pithoria,Ranchi, Jharkhand 835217, Ranchi, RANCHI (Jharkhand) - 835217",--
206,EXPEDITUS WORKERS FOUNDATION,"U85300JH2023NPL019930
RANCHI (Jharkhand)","C/O-BHAWANA ADIWASI MAHILA VIKASH MUNCH, CHURCH LANE, NEAR GEL CHURCH, PATHAL KUDWA, RANCHI, JHARKHAND-834001, RANCHI, RANCHI (Jharkhand) - 834001",--
207,EYE HOSPITAL MAHAGAMA,"2035100264
GODDA (Jharkhand)","MAHAGAMA NEAR ANJANA HOTEL PO-MAHAGAMA, MAHAGAMA, GODDA (Jharkhand) - 814154",--
208,FAIYAJGRAM WELFARE FOUNDATION,"U85100JH2022NPL018306.
JAMTARA (Jharkhand)","JAMTARA, JHARKHAND, JAMTARA, JAMTARA (Jharkhand) - 815352",--
209,FC MEHTA GULMOHAR FOUNDATION,"U80301JH2023NPL019957
HAZARIBAGH (Jharkhand)","C/O VIJAY KUMAR, AT SINDUR, MERAWAL, PO. HAZARIBAG, HAZARIBAG, JHARKHAND - 825301, Hazaribag, HAZARIBAGH (Jharkhand) - 825301",Education & Literacy
210,FEDERATION OF JHARKHAND CHAMBER OF COMMERCE AND INDUSTRIES,"000724
RANCHI (Jharkhand)","Chamber Bhawan, Chamber Path, Mahatma Gandhi Marg, Ranchi 834001, RANCHI, RANCHI (Jharkhand) - 834001",--
211,Femfuture Collective Foundation,"U85300JH2022NPL019019
EAST SINGHBUM (Jharkhand)","S-19, Dayal Coty, Chhota Govindpur, Jamshedpur, Dhalbhumgarh, EAST SINGHBUM (Jharkhand) - 831004","Children, Education & Literacy, Health & Family Welfare, Skill Development, Women's Development & Empowerment, Youth Affairs"
212,FOREMOST MAKER SEVA FOUNDATION,"023244
DEOGHAR (Jharkhand)","S/O SHIV PRASAD SINGH, HOUSE NO -73,DAHIJOR, Dehijore, Mohanpur, Deoghar- 814157, Jharkhand, Deoghar, DEOGHAR (Jharkhand) - 814157",--
213,FOUNDATION FOR BETTERMENT OF HUMANKIND,"U85320JH2018NPL011607
RANCHI (Jharkhand)","C/o Ranjana Kumari, H.No. 21/E, Dutta Villa, New Area Morabadi, RANCHI, Ranchi, Jharkhand, India, 834009, RANCHI, RANCHI (Jharkhand) - 834009",--
214,G-SADKE CARE FOUNDATION,"U85300JH2022NPL019174
DUMKA (Jharkhand)","C/O MD TABREZ, JARUADIH DUMKA (U) PURANA DUMKA JHARKHAND INDIA 814101, DUMKA, DUMKA (Jharkhand) - 814101",--
215,GANARCH FOUNDATION,"U86909JH2024NPL022781
EAST SINGHBUM (Jharkhand)","H NO.154 SITARAMDERA GURUDWARA ROAD OPPOSIT GURUDWARA JAMSHEDPUR JHARKHAND 831009, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831009",--
216,GANDIV ETHICAL FOUNDATION,"U85300JH2023NPL019877
RANCHI (Jharkhand)","QRT NO B 474 SECTOR-2 HEC COLONY DHURWA RANCHI JHARKHAND INDIA 834004, RANCHI, RANCHI (Jharkhand) - 834004",--
217,GANRIN BLISS INDIA FOUNDATION,"025382
EAST SINGHBUM (Jharkhand)","C/o MOHAMMAD FARID, BARINAGER KHARANGAJHAR, Chhota Govindpur, Dhalbhumgarh, EAST SINGHBUM (Jharkhand) - 831004","Agriculture, Art & Culture, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Right to Information & Advocacy, Skill Development, Sports, Water Resources, Women's Development & Empowerment, Youth Affairs"
218,GAURANG SEWA FOUNDATION,"019371
HAZARIBAGH (Jharkhand)","ATJAGO NIWAS GALI, MATWARI, HAZARIBAG, JHARKHAND825301, HAZARIBAG, HAZARIBAGH (Jharkhand) - 825301",--
219,GEETA SAMRIDDHI FOUNDATION,"U85499JH2025NPL024567
RANCHI (Jharkhand)","AMRAWATI COLONY, NEAR SHIV MAHAVEER MANDIR, Chutia, Ranchi, Ranchi- 834001, Jharkhand, Namkum, RANCHI (Jharkhand) - 834001","Health & Family Welfare, Skill Development"
220,GENIUS MAKER INDIAN SKILL DEVELOPMENT COUNCIL,"U80900JH2022NPL019236
HAZARIBAGH (Jharkhand)","VIL-SHAHPUR, POST-SHAHPUR, PS-KATKAMSANDI, DIST-HAZARIBAGH,JHARKHAND 825319, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825301",--
221,GHAGHRA WOMAN FARMER PRODUCER COMPANY LIMITED,"U01100JH2021PTC016707
GUMLA (Jharkhand)","Lohardaga Road Ghaghra Opposite vetenary hospital Ghaghra, Gumla, GUMLA (Jharkhand) - 835208",--
222,GIRIBALA DEVI MEMORIAL FOUNDATION,"U88900JH2025NPL024948
RANCHI (Jharkhand)","HOUSE NO. 53A, ORAONDIH DILGUMARE, RAHE,Sonahatu, Ranchi, Bundu, Jharkhand, India, 835204, Bundu, RANCHI (Jharkhand) - 835204","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
223,GITA ORPHANAGE & OLD AGE HOME FOUNDATION,"U88900JH2024NPL023022
CHATRA (Jharkhand)","C/O SHYAMA SAW , NR TOP NEW COLONY CHATRA -825401 ( JHARKHAND ), CHATRA, CHATRA (Jharkhand) - 825401",--
224,GOLA FARMER HELPING FOUNDATION,"U86100JH2024NPL021798
RAMGARH (Jharkhand)","C/O BALDAS MAHTO, VISHESHWAR MAHTO, 555, DABHATU, GOLA, RAMGARH, JH-829110, GOLA, RAMGARH (Jharkhand) - 829110",--
225,GOOD BOOKS TRUST ASSOCIATION PRIVATE LIMITED,"1170
RANCHI (Jharkhand)","MAIN ROAD, RANCHI GOOD BOOKS BUILDING BESIDE ROSHPA TOWER PIN - 834001, Bundu, RANCHI (Jharkhand) - 834001","Education & Literacy, Religious, Tribal Affairs"
226,GOUR SELF HELP FOUNDATION,"166659
SAHEBGANJ (Jharkhand)","0202, 01 TINPAHAR PARARIYA, TINPAHAR SAHEBGANJ, RAJMAHAL , SAHEBGANJ, JHARKHAND, PIN- 816116., Rajmahal, SAHEBGANJ (Jharkhand) - 816116","Children, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Information & Communication Technology, Labour & Employment, Right to Information & Advocacy, Science & Technology, Skill Development, Sports, Tourism, Water Resources, Women's Development & Empowerment, Youth Affairs"
227,GRAMHEET SOCIAL WELFARE FOUNDATION,"U88900JH2023NPL020523
LATEHAR (Jharkhand)","C/O KAMESHWAR MOCHI, AMBEDKAR NAGAR, BALUMATH,LATEHAR, JHARKHAND829202 INDIA, BALUMATH, LATEHAR (Jharkhand) - 829202",--
228,GREENPETALS ENVIRONMENT AND AGRO FOUNDATION,"U88900JH2024NPL023013
RANCHI (Jharkhand)","BUHIYA, TOLI, U BZR-1, RANCHI, Ranchi G.P.O., Ranchi, Ranchi- 834001, Jharkhand, Ranchi, RANCHI (Jharkhand) - 834001",--
229,GREENRISE FOUNDATION,"U88900JH2025NPL025469
RANCHI (Jharkhand)","9/398, ANAND VIHAR COLONY, KADRU, Doranda, Burmu, RANCHI (Jharkhand) - 834002","Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Nutrition, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Women's Development & Empowerment, Youth Affairs"
230,GROTESQUE PRIVATE LIMITED,"U80904JH2020PTC014283.
EAST SINGHBUM (Jharkhand)","FLAT NO R-7, SHIV GANGA APARTMENTS,, NEAR CARMEL CONVENT, SONARI, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831011",--
231,GUDIYA ARPAN JAN KALAN FOUNDATION,"U88900JH2024NPL022473
RANCHI (Jharkhand)","C/O Kaleshwar Sahu,KrishnapuriKokar Jharkhand834001, RANCHI, RANCHI (Jharkhand) - 834001",--
232,GURUNANAK POLYTECHNIC FOUNDATION,"U80903WB2016NPL215473
SARAIKELA KHARSAWAN (Jharkhand)","GHORANEGI, DAM ROAD, CHANDIL, CHANDIL, SARAIKELA KHARSAWAN (Jharkhand) - 832401",--
233,GURUNANAK TECHNICAL FOUNDATION,"U80904WB2016NPL215517
RAMGARH (Jharkhand)","GOLA POLYTECHNIC, HUPPU, RAMGARH, RAMGARH (Jharkhand) - 829110",--
234,GURUSARTHI HELPING WELFARE FOUNDATION,"U88900JH2023NPL021376
BOKARO (Jharkhand)","AT KATHARA.. DOLLY SHOPING COMPLEX KATHARA NEAR BANK OF INDIA BOKARO 829116, Bermo, BOKARO (Jharkhand) - 829116","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
235,GYANDWIP HARIT WELFARE FOUNDATION,"U88900JH2024NPL023203
BOKARO (Jharkhand)","182, ABHIMANYU NAGAR, PURULIA ROAD, SHIVAM STEE, Chas Bokaro, Chas, Bokaro- 827013, Jharkhand, Chas, BOKARO (Jharkhand) - 827013","Agriculture, Children, Drinking Water, Education & Literacy, Environment & Forests, Human Rights, Labour & Employment, Rural Development & Poverty Alleviation, Skill Development, Water Resources, Women's Development & Empowerment"
236,H-TWO-O SHIPPING AND STEVEDORING PRIVATE LIMITED,"20AAHCH2646B1Z8
EAST SINGHBUM (Jharkhand)","2nd Floor, S B Shop Area, 2A A J Tower, Bistupur, Jamshedpur, Jamshedpur, EAST SINGHBUM (Jharkhand) - 831001",--
237,HAB SOCIETAL FOUNDATION,"U88900JH2025NPL023892
DEOGHAR (Jharkhand)","C/O SUKHDEO NAGAR, PATHERCHAPTI MADHUPUR, Madhupur Bazar, Madhupur, Deoghar- 815353,, Madhupur, DEOGHAR (Jharkhand) - 815353",--
238,HAMARA BHARAT FOUNDATION,"U85300JH2020NPL014433
RANCHI (Jharkhand)","Sankat Mochan Mandir, Main Road Ranchi, RANCHI, RANCHI (Jharkhand) - 835101",--
239,HARMA DESH MANJHI JAN KALYAN FOUNDATION,"U85490JH2024NPL023018
DUMKA (Jharkhand)","HARMA DESH MANJHI JAN KALYAN FOUNDATION BARAPATHAR GOPIKANDAR DIST DUMKA 814103, GOPIKANDAR, DUMKA (Jharkhand) - 814103",--
240,HAZARIBAG JEEVAN REHAB FOUNDATION,"U86900JH2025NPL025309
HAZARIBAGH (Jharkhand)","AT SADHNAPURI, BARHI Hazaribag-825405,Jharkhand, Barhi, HAZARIBAGH (Jharkhand) - 825405",Health & Family Welfare
241,HAZARIBAGH HANDCRAFTED TEXTILE PRODUCTS PRODUCER COMPANY LIMITED,"U17299JH2021PTC016885
HAZARIBAGH (Jharkhand)","PELAWAL PO-PELAWAL KATKAMSANDI HAZARIBAGH JHARKHAND PIN 825301, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825301",--
242,HAZARIBAGH REBORN FOUNDATION,"024181
HAZARIBAGH (Jharkhand)","HAZARIBAGH REBORN FOUNDATION PREETI SUMAN, KUSUM NAGAR, NUTAN NAGAR, NR KUSH TVS, Hazaribagh, HAZARIBAGH (Jharkhand) - 825301","Health & Family Welfare, Right to Information & Advocacy, Skill Development"
243,HEAL FROM PAIN FOUNDATION,"U85300JH2022NPL018031
RANCHI (Jharkhand)","Dr Pawan kr Barnawal Lane, First Mark Up Road, Manju Colony, Bariyatu., Ranchi, RANCHI (Jharkhand) - 834009",--
244,HEALINGO FOUNDATION,"U85300JH2020NPL014866
DHANBAD (Jharkhand)","C/O MR A N JHA, NEAR BHATIYA SHIV MANDIR, GANDHI NAGAR, P.S. DHANSAR DIST DHANBAD, DHANBAD, Dhanbad, Jharkhand, India, 826001, DHANBAD, DHANBAD (Jharkhand) - 826001",--
245,HEAVEN'S DOOR FOUNDATION,"U85500JH2024NPL022684
RANCHI (Jharkhand)","C/O Rajesh Marki, Johar Nagar, New Pundag, Ranchi. , RANCHI, RANCHI (Jharkhand) - 834004",--
246,HELPING CORPS FOUNDATION,"U88900JH2023NPL021313
DHANBAD (Jharkhand)","H.NO. 76 MANOJ NIWAS RANI BAZAR ROAD, Katrasgarh, Dhanbad, Dhanbad, Jharkhand, India, 828113, Jharkhand, DHANBAD (Jharkhand) - 828113",--
247,HELPING NS FOUNDATION,"U85300JH2020NPL015714
RANCHI (Jharkhand)","SOUTH SAMAJ STREET THARPHKNA RANCHI, Kanke, RANCHI (Jharkhand) - 834001","Agriculture, Education & Literacy, Human Rights, Religious, Rural Development & Poverty Alleviation, Water Resources"
248,HIMANSKHA ASPIRE FOUNDATION,"021777
EAST SINGHBUM (Jharkhand)","No 13, St Mile Rd N Town, EAST SINGHBHUM, Sakchi, Jamshedpur, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831001",--
249,HITAJUNG FOUNDATION,"U88900JH2025NPL024395
RANCHI (Jharkhand)","403 BLOCK A TIRU ENCLAVE , RANCHI 834001,JHARKHAND , CHUTIA, RANCHI-834001,JHARKHAND, Kanke, RANCHI (Jharkhand) - 834001","Agriculture, Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, Skill Development, Tourism, Tribal Affairs, Vocational Training, Women's Development & Empowerment"
250,HITAYA WELFARE FOUNDATION,"U88900JH2024NPL022207
RANCHI (Jharkhand)","FLAT NO 402 FOURTH FLOOR, RANJANA ENCLAVE, Bariatu, Ranchi, Ranchi- 834009, Jharkhand, Ranchi, RANCHI (Jharkhand) - 835217",--
251,HOCKEY ACE FOUNDATION,"U74130JH2017NPL010751
EAST SINGHBUM (Jharkhand)","FLAT NO. 65, P-TYPE, TUBES OFFICERS FLATS, NILDIH, GOLMURI, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831003",--
252,HOPE CHARITY FOUNDATION TRUST,"2023/GOD/25/BK4/17
RANCHI (Jharkhand)","VILLAGE GOVINDPUR POST ITHARI PS MEHERMA PANCHYAT AMJORA PIROJPUR DIST GODDA JHARKHAND, RANCHI, RANCHI (Jharkhand) - 814160","Children, Civic Issues, Dalit Upliftment, Education & Literacy, Human Rights"
253,HOPE FOR DEPRIVED FOUNDATION,"019811
RANCHI (Jharkhand)","HOPE FOR DEPRIVED FOUNDATION DEV NARAYAN UPADHYAY, H.B. ROAD, NEAR MADAN HOTEL, AYODHYAPURI, KOKAR DHARMKATA, RANCHI, RANCHI, RANCHI (Jharkhand) - 834009",--
254,HOPE LINK FOUNDATION,"022763
EAST SINGHBUM (Jharkhand)","00172 KASIDIH, NEWLAYOUT, SAKCHI, Jamshedpur, East Singhbhum, Jamshedpur, Jharkhand, India, 831001, Jamshedpur, EAST SINGHBUM (Jharkhand) - 831001",--
