Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
235,BETTER WORLD FOUNDATION,"U80210BR2016NPL032100
PATNA (Bihar)","House No-464, Maurya Vihar, Near Transport Nagar, Panikani, Ward-55, Kumhrar Patna BR 800026 IN, PATNA, PATNA (Bihar) - 800026",--
236,BEYONDLIMITS SOCIAL FOUNDATION,"U88900BR2025NPL074330
KAIMUR (BHABUA) (Bihar)","C/O RAJ BANSH TIWARI LA SCHOOL W.NO-11 PL.NO226 Kaimur Bhabua Chainpur Hatta Kaimur Bhabua Bihar 821106, Bhabua, KAIMUR (BHABUA) (Bihar) - 821106","Children, Education & Literacy, Environment & Forests, Skill Development, Sports, Women's Development & Empowerment, Youth Affairs"
237,BH BIOFUELS PRIVATE LIMITED,"U47300BR2024PTC068768
PATNA (Bihar)","349, WARD NO-04 NAYA TOLA, NANDPUR, PO-NARKATIAGANJ, Narkaiaganj, Bettiah, West Champaran- 845455, Bihar , BIHAR, PATNA (Bihar) - 845455",--
238,BHADESHWARNATH SAMAST DHARM DHYAN FOUNDATION,"U86900BR2025NPL073234
BHAGALPUR (Bihar)","VILL-JAGARNATHPUR, PANCH- Bhagalpur Bhagalpur- 813222, Bihar, Kahalgaon, BHAGALPUR (Bihar) - 813222","Aged/Elderly, Education & Literacy, Human Rights, Minority Issues, Rural Development & Poverty Alleviation"
239,BHAGWAN SHREE CHITRAGUPT KALYAN FOUNDATION,"U88900BR2025NPL074645
GOPALGANJ (Bihar)","C/O VISHNU PRIYA SREERAM, NAGAR, WARD NO. 26, Gopalganj, GOPALGANJ (Bihar) - 841428","Education & Literacy, Skill Development"
240,BHAJANSINGH EDUCATIONAL FOUNDATION,"AAMCB0520B
PURBI CHAMPARAN (Bihar)","S/O LT BHAJAN SINGH URF KOTWA BHAGVANPUR GHORA SAHAN EAST CHAMPARAN 845303 BIHAR, MOTIHARI, PURBI CHAMPARAN (Bihar) - 845303",--
241,BHARAT ASSOCIATION OF CLINICAL EMBRYOLOGISTS,"U72100BR2024NPL070727
PATNA (Bihar)","Flat No. 201, Arrah Garden Residencies, Phulwari, Patna -800014, Phulwari, PATNA (Bihar) - 800014","Health & Family Welfare, Vocational Training"
242,BHARAT DIETETIC ASSOCIATION,"U87200BR2024NPL067521
PATNA (Bihar)","M I G 183, Kankarbagh, Lohia Nagar, Sampatchak, Patna, PATNA (Bihar) - 800020",--
243,BHARAT GAURAV DESHRATNA RAJENDRA MEMORIAL FOUNDATION,"U88900BR2024NPL071836
SIWAN (Bihar)","C/O PARMOD KR THEPAHA RAJA RAM, BLOCK ZIRADEI, TITRA, Siwan, SIWAN (Bihar) - 841245",--
244,BHARATI APPROACHING TOMORROW FOUNDATION,"U85499BR2023NPL066492
PATNA (Bihar)","8H-22 Bahadurpur Housing Colony patna sampatchak Bihar India 800026, patna, PATNA (Bihar) - 800026",--
245,BHARATSYOUTH FOUNDATION,"052548
GAYA (Bihar)","NIMCHAK, BELAGANJ, GAYA, BIHAR-804403, GAYA, GAYA (Bihar) - 804403",--
246,BHARDWAJ FOUNDATION,"U80900BR2021NPL052396
PATNA (Bihar)","C/O- SURJEET KUMAR, A/3 VIVEKANAND PARK LANE NO. A, PATLIPUTRA PATNA, BIHAR 800013, PATNA, PATNA (Bihar) - 800013",--
247,BHARTIYA GAUWANSH RAKSHA FOUNDATION,"U88900BR2025NPL077960
PATNA (Bihar)","C/O BHUPENDRA BHUSHAN, KHATA NO 100, PLOT NO 107, KHAGUAL, DINAPUR-CUM-KHAGUAL, Phulwari, PATNA (Bihar) - 801105","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Children, Disaster Management, Education & Literacy, Human Rights, Panchayati Raj, Prisoner's Issues, Religious, Skill Development, Sports, Youth Affairs"
248,BHARTIYASAMARIDHI ASSOCIATION SOCIAL FOUNDATION,"U88900BR2024NPL068383
GAYA (Bihar)","C/O MUKESH KUMAR,ROUNIYAN, MAHKAR ROUNIYAN GAYA, Rauniya, Gaya, Khijersarai, Bihar, India, 824233, Gaya, GAYA (Bihar) - 824233",--
249,BHASKAR SOCIAL WELFARE FOUNDATION,"U85300BR2021NPL055284
JAMUI (Bihar)","Vill- Malaypur, Tomar Tola, Mallehpur S.O, Jamui, Bihar, Jamui, JAMUI (Bihar) - 811313",--
250,BHAVISHYA BHARTI FOUNDATION,"U88900BR2025NPL074997
BEGUSARAI (Bihar)","Thakur sadan, begusarai, bihar,851101, Begusarai, BEGUSARAI (Bihar) - 851101","Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Education & Literacy, Environment & Forests, Housing, Labour & Employment, Land Resources, New & Renewable Energy, Religious, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
251,BHAVISHYA UTTHAN FOUNDATION,"U85300BR2022NPL056433
SARAN (Bihar)","C/o Manmohan Pandey, Panch Dandspur, Vill-Dandaspur, Saran, Block-Lahladpur, Saran, Saran, Bihar, India, 841224, Lahladpur, SARAN (Bihar) - 841224","Art & Culture, Education & Literacy, Health & Family Welfare, Religious"
252,BHAVYASHREE FOUNDATION,"U88900BR2024NPL068612
KATIHAR (Bihar)","House No.382, Near Kali Temple, Colony No. 01, Katihar, KATIHAR (Bihar) - 854105",--
253,BHAWANI WELFARE FOUNDATION,"U85300BR2021NPL051733
KATIHAR (Bihar)","IN C/O VIJAY CHOUDHARY CHY. AMALA TOLA KATIH KATIHAR Katihar BR 854105 IN , KATIHAR, KATIHAR (Bihar) - 854105",--
254,BHOJPATTA AGRIPRENEUR PRIVATE LIMITED,"U01400BR2021PTC050646
SARAN (Bihar)","At Mahammadpur Post Bela Ps Dariyapur District Saran, Dariapur, SARAN (Bihar) - 841221","Agriculture, Animal Husbandry, Dairying & Fisheries, Environment & Forests, Food Processing, Micro Small & Medium Enterprises, New & Renewable Energy, Rural Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment"
255,BHOLA DUTT JHA FOUNDATION,"067813
DARBHANGA (Bihar)","Lohna Road, Darbhanga, Darbhanga, Bihar, India, 847407, LOHNA ROAD, DARBHANGA (Bihar) - 847407",--
256,BHOLAMAHTO EDUCATIONAL FOUNDATION,"U85500BR2023NPL064830
NALANDA (Bihar)","WARD26 DHANESHWAR GHAT,NORTH OF HANUMAN MANDIR, Nalanda, NALANDA (Bihar) - 803101",--
257,Bhoomika Vihar Foundation,"U85100BR2017NPL035267
PATNA (Bihar)","301, B Nandan Vatika,West Boring canal Road,Patna, 800001, Patna, PATNA (Bihar) - 800001",--
258,BHOOMISHA FOUNDATION,"U88900BR2024NPL069041
PATNA (Bihar)","C/O SMT CHAMPA DEVI,POSTL PARK,ROAD NO.01, BUDH NGR, K.SECTOR,, PATNA, PATNA (Bihar) - 800020",--
259,BHUMI SENA FOUNDATION,"U88900BR2025NPL076881
PATNA (Bihar)","SHEKHPURA R.K. NAGAR, PATNA- 800020, CHITRAGUPTA NAGAR, SAMPATCHAK, PATNA- 800020, BIHAR, Sampatchak, PATNA (Bihar) - 800020","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
260,BHUSAARTHI SEVA FOUNDATION,"U88900BR2025NPL072953
MADHUBANI (Bihar)","C/O SRI SURESH SAH, NURANI MAZID W.NO-05, Madhepur, Jhanjharpur, Madhubani- 847408, Bihar, Madhepur, MADHUBANI (Bihar) - 847408","Agriculture, Art & Culture, Children, Education & Literacy, Environment & Forests, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
261,BHUTALI FUTURE FOUNDATION,"U85500BR2025NPL073169
PATNA (Bihar)","CIRCLE NO 198 NEW H 125, OLD H 135A-130, BAHARI, BEGAMPUR PATNA, Sampatchak, PATNA (Bihar) - 800009","Animal Husbandry, Dairying & Fisheries, Animal Welfare, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Information & Communication Technology, Skill Development, Tribal Affairs"
262,BHUVNESHWARY SOCIAL WELFARE AND EDUCATIONAL FOUNDATION,"U80302BR2022NPL056261.
MADHEPURA (Bihar)","C/O JITENDRA YADAV, VILL SIRIPUR MILIK,, PANCH TEGRAHA SIKIYAHA, BLOCK KUMARKHAND, MADHEPURA BIHAR, 852112, MADHEPURA, MADHEPURA (Bihar) - 852112",--
263,BIBHA EDUCATIONAL AND HEALTH FOUNDATION,"U88900BR2024NPL069755
PASHCHIM CHAMPARAN (Bihar)","C/O-LAL BABU SINGH BANUCHAPPAR BETTIAH, BETTIAH, PASHCHIM CHAMPARAN (Bihar) - 845106",--
264,BIG MOON FOUNDATION,"U88900BR2024NPL069520
VAISHALI (Bihar)","S/O-ALIM QURAISHI, SACHIPATTI, Hajipur, Hajipur, Vaishali- 844101, Bihar, HAJIPUR, VAISHALI (Bihar) - 844101",--
265,BIHAR DAIRY FARMERS ASSOCIATION,"U01619BR2023NPL065642
ARWAL (Bihar)","Vill: Bhikhanpur Dhawai, Injore, Arwal, Gaya, Arwal, ARWAL (Bihar) - 804428",--
266,Bihar Entrepreneurs Association,"U91990BR2017NPL036048.
PATNA (Bihar)","Cantt Road, Garikhana, Khagaul, Patna, PATNA (Bihar) - 801105",--
267,Bihar Industries Association,"U91200BR1947NPL000317
PATNA (Bihar)","Industry House, Sinha Library Road, Patna800001, Patna, PATNA (Bihar) - 800001",--
268,BIHAR IT AND MANAGMENT EDUTECH FOUNDATION,"076936
PATNA (Bihar)","LIG 2/67 HANUMAN NAGAR PATKARKAR NAGAR KE PICHE PATNA 800020., Phulwari, PATNA (Bihar) - 800020","Agriculture, Animal Welfare, Art & Culture, Education & Literacy, Health & Family Welfare"
269,BIHAR PICKLEBALL ASSOCIATION,"073136
SUPAUL (Bihar)","Parsaramaparsauni, Supaul, Parsharma, Supaul, Supaul, Bihar, India, 852130, Supaul, SUPAUL (Bihar) - 852130","Health & Family Welfare, Sports"
270,BIHAR SCHOOL OF SKILLS FOUNDATION,"U85500BR2024NPL071266
PATNA (Bihar)","C/O SMT SUMAN KUMARI, MAHESHPUR, NEARSHIV MANDIR, PATNA CITY, Patna, PATNA (Bihar) - 800008",--
271,BIHAR-HOSPITALS-ASSOCIATION,"U86900BR2025NPL074077
PATNA (Bihar)","Near Sent Annys High School, Begam ki Haweli, Buxi Muhalla, Patna City, Bihar., Patna Rural, PATNA (Bihar) - 800008","Aged/Elderly, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Human Rights, New & Renewable Energy, Nutrition, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
272,BIHARTIMES DEVELOPMENT FOUNDATION,"U88900BR2023NPL065774
PATNA (Bihar)","4- B, Nehru Nagar, Patna:800013, Patna, PATNA (Bihar) - 800013",--
273,BIHARWADI MISSION FOUNDATION,"U85300BR2022NPL056815
PURBI CHAMPARAN (Bihar)","AT POST CHINTAMANPUR,KHASRA-575.BLOCK CHAKIA DISTRICT EAST CHAMPARAN, East Champaran, CHAMPARAN, Bihar, Chatia, East Champaran, Areraj, Bihar, India, 845425, CHAMPARAN, PURBI CHAMPARAN (Bihar) - 845425",--
274,BIJAY ARYA ANANT SHASTRI FOUNDATION,"U85300BR2021NPL050632.
ROHTAS (Bihar)","BAAS FOUNDATION VIJAY KUMAR ARYA NASRIGANJ ,TOLA WARD NO -05NASHRIGANJ (NP) BLOCK- NASRIGANJ DIST- ROHTAS, STATE BIHAR, NASRIGANJ, ROHTAS (Bihar) - 821310",--
275,BIKASMITRA FOUNDATION,"U88900BR2023NPL064250
BANKA (Bihar)","C/O Vikash Kumar Yadav Amarpur Road Ward No 8 Banka, Banka, BANKA (Bihar) - 813102",--
276,BILAL FOUNDATION AND EDUCATIONAL WELFARE TRUST DEORA BANDHAULI,"1034
MADHUBANI (Bihar)","Village Deore Bandhauli ,Post Office -Bandhauli,police Station Jale,, DHARBHANGA, MADHUBANI (Bihar) - 847303",--
277,BIMALA SOCIAL WELFARE FOUNDATION,"U85300BR2022NPL058907
PURBI CHAMPARAN (Bihar)","HOUSE NUMBER-58, LANE NUMBER 5,, MOTIHARI, PURBI CHAMPARAN (Bihar) - 845401",--
278,Bimbisar health education and help foundation,"U85300BR2019NPL043457
NAWADA (Bihar)","VILL-DHANIYAWAN PAHARI ROAD,BLOCK, NARDIGANJ, Nawada, Bihar, India, 805109, Nawada, NAWADA (Bihar) - 805109",--
279,Bimla Bijay Foundation,"U85300BR2021NPL051609
PATNA (Bihar)","BIMLA BIJAY FOUNDATON SADBHAWNA NAGAR, NAYA CHAK, PATNA -800027 , PATNA, PATNA (Bihar) - 800026",--
280,BISHAKHA FOUNDATION,"U85300BRINPL051121
PATNA (Bihar)","HOUSE OF MANISH KUMAR 40 B BEHAIND JAMUNA APARTMENT, GANDHI NAGAR BORING ROAD PATNA-1, PATNA, PATNA (Bihar) - 800001",--
281,BITSY SOCIAL ORGANIZATION,"U85300BR2022NPL058064
VAISHALI (Bihar)","WARD NO. 4, PATEPUR ROAD, MAHUA, VAISHALI, VAISHALI, BIHAR844122, VAISHALI, VAISHALI (Bihar) - 844122",--
282,BK JEWELS PRIVATE LIMITED,"U47733BR2025PTC073373
MADHUBANI (Bihar)","Shop No.1 Madhepur Main M, Madhepur, Jhanjharpur, Madhubani, Madhepur, MADHUBANI (Bihar) - 847408","Micro Finance (SHGs), Micro Small & Medium Enterprises"
283,BK MICROCARE FOUNDATION,"U85500BR2025NPL076325
MADHUBANI (Bihar)","MADHEPUR MAIN MARKET, Madhepur, Jhanjharpur, Madhepur, MADHUBANI (Bihar) - 847408","Micro Finance (SHGs), Micro Small & Medium Enterprises"
284,BLACKSHARP FOUNDATION,"U85300BR2022NPL061297
PURBI CHAMPARAN (Bihar)","Ward 02, Vill: Bhagwanpur, PO: Gheghawa, BL: Tetaria, Motihari, PURBI CHAMPARAN (Bihar) - 845436",--
285,BLC FOUNDATION,"U80210BR2022NPL059566
JEHANABAD (Bihar)","C/o Babulal Choudhary, Tehta Mallahtoli, Tehta, Makhdumpur, Jehanabad, JEHANABAD (Bihar) - 804427","Education & Literacy, Skill Development"
286,Bluedrak Research India Foundation,"U85300BR2021NPL054088
MADHEPURA (Bihar)","C/O BHOLA PASWAN, VILL HARAILI TOLA HAR, AILI PANCH RAMPUR KHORA BLOCK KISHANGANJ, MADHEPURA, Kishanganj, Bihar, India, 852220, Udakishunganj, MADHEPURA (Bihar) - 852220",--
287,BODHGAYA TRAVEL ASSOCIATION,"U88900BR2024NPL071198
GAYA (Bihar)","SHOP NO -119, NODE-1, Bodhgaya, Bodhgaya, Gaya- 824231, Bihar, Gaya, GAYA (Bihar) - 824231",--
288,BOOTSTRAP VENT FOUNDATION,"U88900BR2025NPL076177
PATNA (Bihar)","1st FLOOR HARIHAR CHAMBER, BORING ROAD, Sri Krishnapuri, Patna, Phulwari, Bihar, India, 800001, Phulwari, PATNA (Bihar) - 800001","Information & Communication Technology, Labour & Employment, Science & Technology, Skill Development, Vocational Training"
289,BP SINGH & SHAKUNTALA DEVI FOUNDATION,"U85300BR2020NPL046194
BEGUSARAI (Bihar)","SHRI KRISHNA NAGAR BEGUSARAI, Begusarai, BEGUSARAI (Bihar) - 851101","Children, Education & Literacy, Environment & Forests, Health & Family Welfare, Labour & Employment, Nutrition, Rural Development & Poverty Alleviation, Skill Development"
290,BPS WORLD FOUNDATION,"U85499BR2024NPL068010
BEGUSARAI (Bihar)","At Panhas Ward No 27 Suhird Nagar, Begusarai, BEGUSARAI (Bihar) - 851218","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
291,BRAHAM JYOTIRY SEWA FOUNDATION,"42002052250000999
PURBI CHAMPARAN (Bihar)","WARD NO2, RAJEPUR, MEHASI NEAR JHITKAHIYA ROAD CHAKIA JHITKAHIYA, RAJEPUR, PURBI CHAMPARAN (Bihar) - 845406",--
292,BRAHAMKRIT SEWA FOUNDATION,"U85499BR2023NPL065660
PATNA (Bihar)","C/O-SUDHA RANI W/O- S,DWARIKA PURI ROAD NO-1 ASHOK NAGAR (PATNA) SAMPATCHAK PATNA, Patna, PATNA (Bihar) - 800020",--
293,BRAINTECHS COMPUTER INSTITUTE & TECHNOLOGY PRIVATE LIMITED,"U80301BR2019PTC044282
SAMASTIPUR (Bihar)","C/O RAJ KUMAR SHARMA, HALAI BAZAR,NH-322, JANDAHA RAOD, PANCH-BANBEERA,BLOCK-MORWA, HALAI, Samastipur, Bihar, India, 848505, SAMASTIPUR, SAMASTIPUR (Bihar) - 848505",--
294,Brajina Foundation,"U74994BR2017NPL036228
PASHCHIM CHAMPARAN (Bihar)","Ward No. 3,Uhami Compound, Ramnagar, West Champaran 845106, Bihar , RAMNAGAR, PASHCHIM CHAMPARAN (Bihar) - 845106",--
295,BRF SMALL MICRO SERVICE ASSOCIATION,"071843
SARAN (Bihar)","WARD NO 10, BEDUPUR, THANA EKMA, Rampur BINDALAL,, CHAPRA, SARAN (Bihar) - 841220",--
296,BRICHA WELFARE FOUNDATION,"U85300BR2021NPL055275
BHAGALPUR (Bihar)","AT-AGARPUR PO-AGARPUR PS-LODIPUR BLOCK-GORADIH DIST-BHAGALPUR, BHAGALPUR, BHAGALPUR (Bihar) - 813210",--
297,BRIGHT ADVISORY FOUNDATION,"160202
PATNA (Bihar)","C/O VIJAY KR SHARMA NEAR B, RITINAWAREHOUSE, MOHMADPUR, KOTHIA, SAMPATCHAK, PATNA BIHAR 800009, PATNA, PATNA (Bihar) - 800009",--
298,BRIGHTWAY SOCIAL WELFARE FOUNDATION,"067990
BHAGALPUR (Bihar)","C/O SUMAN KUMAR SUMAN 01, LATTIPUR CHOK AT USMANPUR, Mirjafari, Bhagalpur, Kharik,, Bhagalpur, BHAGALPUR (Bihar) - 853202",--
299,BRING BRIGHT SMILE FOUNDATION,"U85300BR2022NPL057975
VAISHALI (Bihar)","C/O SANTI SINGH, VIR KUMAR SINGH COL, HAZIPUR Vaishali BR 844101 IN, HAZIPUR, VAISHALI (Bihar) - 844101",--
300,BRUTALIMI ASSOCIATION,"071537
PASHCHIM CHAMPARAN (Bihar)","Panch-Bhairoganj, Vill- Nara Prasauni, Bagaha, Bagaha-1, West Champaran, Bihar-845101, Bagaha, PASHCHIM CHAMPARAN (Bihar) - 845101",--
301,BTG BHARAT FOUNDATION,"U88900BR2024NPL070987
SAHARSA (Bihar)","VILL- BATHANAHA SAHSAUL, SONBERSA RAJ, SONBARSA, SAHARSA, SONBARSA, SAHARSA (Bihar) - 852129",--
302,BUCKSHEE WELFARE FOUNDATION,"U85300BR2022NPL056608
PATNA (Bihar)","Hussain Homes Apartment, Ground Floor Block-B, Quazi Nagar, Ward No-02, Phulwari, PATNA (Bihar) - 801505","Aged/Elderly, Animal Welfare, Children, Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare, Human Rights, Legal Awareness & Aid, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
303,BUDDHA CATU PARISA VAISHALI FOUNDATION,"U88900BR2023NPL065864
MUZAFFARPUR (Bihar)","C/O DURGA DEVI CHAKMANEAR MYANMAR TEMPLE, Bakhra, Muzaffarpur, Saraiya, Bihar, India, 843101, Muzaffarpur, MUZAFFARPUR (Bihar) - 843101",--
304,BUDDHA DISABILITY REHABILITATION EDUCATION HEALTH AND RESEARCH FOUNDATION,"U85100BR2021NPL055343.
MADHUBANI (Bihar)","C/O GANGA PD YADAV MAHATHAUR KHURD, VILL PANDEY TOL, MAHATHAUR BLOCK PHULPAR, MADHUBANI, BIHAR, INDIA, 847409, MADHUBANI, MADHUBANI (Bihar) - 847409",--
305,BUDDHA EDUCATIONALAND WELFARE FOUNDATION,"U88100BR2024NPL070935
SARAN (Bihar)","C/O PAPPU KUMAR, ATMAHIMA GOPINATH, Baruraj, Motipur, Muzaffarpur- 843111, Biha, Muzaffarpur, SARAN (Bihar) - 843111",--
306,BUDDHIST COMPASSION RELIEF TZU CHI FOUNDATION,"U86909BR2024NPL069932
GAYA (Bihar)","Shop no-18, Near Node 1, Bodhgaya, Civil Aerodram, Gaya, Gaya- 823004, Bihar, Gaya, GAYA (Bihar) - 823004",--
307,BUDDHIST WELFARE FOUNDATION,"U88900BR2024NPL070941
BHOJPUR (Bihar)","C/O MURTI DEVI, W/O JIYUT, RAM, BALIGANJ ARA URBAN-1, Manikpur, Bhojpur, Arrah, Arrah, BHOJPUR (Bihar) - 802163",--
308,BUDHA HELP AND PROSPERITY FOUNDATION,"U88900BR2025NPL075338
MUZAFFARPUR (Bihar)","Gorigama Gurgao, Minapur, MUZAFFARPUR (Bihar) - 843117","Agriculture, Children, Drinking Water, Education & Literacy, Health & Family Welfare, Micro Finance (SHGs), Panchayati Raj, Rural Development & Poverty Alleviation, Skill Development, Vocational Training, Women's Development & Empowerment"
309,BUXAR BHAWISHYA NIRMAN MISSION FOUNDATION,"063283
BUXAR (Bihar)","59, Jaso Road, Near by Go, PO-Buxar, PS-Muffasil tha, Buxar, Buxar, Buxar, Bihar, India, 802101, BUXAR, BUXAR (Bihar) - 802101",--
310,BUXAR MEDICAL CITY FOUNDATION,"U86100BR2025NPL077030
BUXAR (Bihar)","C/O RAM NARAYAN, THANA ROAD WARD NO 24, BUXAR, Buxar, BUXAR (Bihar) - 802101","Biotechnology, Education & Literacy, Health & Family Welfare, HIV/AIDS, Nutrition, Science & Technology, Skill Development, Vocational Training"
311,CAIES FOUNDATION,"051622
PATNA (Bihar)","101 S. B. Villa, New Harnichak, Near Devi Sthan, Walmichak Road, Anisabad, Patna, PATNA (Bihar) - 800002","Education & Literacy, Environment & Forests, Health & Family Welfare, Information & Communication Technology, Science & Technology, Scientific & Industrial Research, Vocational Training, Water Resources"
312,CARE BLUE EARTH FOUNDATION,"U88900BR2024NPL072180
GAYA (Bihar)","C/O AMIT KR MISHRA, 0 GAYA PITAMHESHAWAR, Chand Chourah, Gaya, Gaya- 823001, Bihar, GAYA, GAYA (Bihar) - 832001",--
313,CARECLUB MAYANK FOUNDATION,"U80902BR2021NPL052436
PATNA (Bihar)","IIND FLOOR,B.No. WM021-0026,W.N 27, AZAD NAGAR,MUMTAZAHMAD GALI, BALUA TAL, MOTIHARI, East Champaran, Bihar, India,84540, BIHAR, PATNA (Bihar) - 845401",--
314,CAREER GUIDE HR CONSULTANCY PRIVATE LIMITED,"U74999DL2020PTC364801
GOPALGANJ (Bihar)","1. Regd Office -Mirganj ward no 04 Distt -Gopalganj Bihar -841438 2. Corporate office H.No.164 Mandir wali gali near bus stand Azadpur , Azadpur North East Delhi 110052 , Mirganj, GOPALGANJ (Bihar) - 841438",--
315,CAREWIZ HELPING HAND FOUNDATION,"071214
SUPAUL (Bihar)","C/O KAMAL JAWED, CCP SCHOOL WARD NO. – 03 PRATAPGANJ(SUPAUL) SUPAUL, PRATAPGANJ, BIHAR, INDIA, 852125, SUPAUL, SUPAUL (Bihar) - 852125",--
316,CARING LINK FOUNDATION,"U86909BR2023NPL066576
PATNA (Bihar)","C/O RATAN KUMAR,JKS5 , OLD JAKKANPUR ,GARDANIBAGH PATNA -800001, BIHAR, PATNA, PATNA (Bihar) - 800001",--
317,CCPT AWASIYA PARISAR SANRAKSHAN ASSOCIATION,"074308
PATNA (Bihar)","BUDH MARG, LODIPUR, OPP. STATE FIRE OFFICE, Bank Road, Patna, Phulwari, Bihar, India, 800001, Phulwari, PATNA (Bihar) - 800001",Housing
318,CELEBREZA WELFARE FEDERATION,"069294
BHOJPUR (Bihar)","683 BIHIYA CHIKTOLI, MUHALA ADARSH VIHARCOLONY, BEHEA, BHOJPUR (Bihar) - 802152",--
319,CGX PUCHKU FOUNDATION,"U88900BR2024NPL066921
PATNA (Bihar)","C/OSMT.KAVITAKUMARI DIXIT BHAGWAT NAGAR, BAHADURPUR SAMPATCHAK KUMHRAR PATNA-800026, BIHAR, PATNA, PATNA (Bihar) - 800026",--
320,CHAHAKTA AANGAN FOUNDATION,"U88900BR2024NPL068038
AURANGABAD (Bihar)","C/O KRISHNA KUMAR GUPTA WARD NO25 SHAHPUR AURANGABAD BIHAR- 824101, AURANGABAD, AURANGABAD (Bihar) - 824101",--
321,Chaityak Foundation,"U85300BR2019NPL041116
PATNA (Bihar)","304, 3rd Floor, L N Tower, Kankarbagh Main Road, Patna-800020 (Landmark- Opp. KFC and Gravity Mall, Beside HP Petrol Pump), Patna, PATNA (Bihar) - 800020",--
322,chakshumshi foundation,"U80100BR2020NPL047472
PATNA (Bihar)","At Yadav Palace, Plot No-2126,Mathiyapur Aushopur Road, Danapur, Patna-801503 Patna Patna, PATNA, PATNA (Bihar) - 801503",--
323,CHAL CHITT CHAITANYA SEWA FOUNDATION,"U86201BR2023NPLO63310
JEHANABAD (Bihar)","C/O GIRIJA NAND PATHAK RAJA BAZAR , MAGADH Jehanabad Jehanabad Jehanabad BR 804408 IN, Jehanabad, JEHANABAD (Bihar) - 804408",--
324,CHAMAN SHARWAN JANARDAN VINDI MISSION FOUNDATION,"U88900BR2024NPL069934
ARARIA (Bihar)","C/O JANARDAN PRASAD SAHA, VILL SOHANDAR PALASI, Sonadarhat, Araria, Araria, Bihar, India, 854329, Araria, ARARIA (Bihar) - 854329",--
325,CHAMPARAN BOYS MEMBER FOUNDATION,"U88900BR2023NPL064751
PASHCHIM CHAMPARAN (Bihar)","ANTHEM FITNESS GYM, PURANI BAZAR, WARD NO.1, Narkaiaganj, West Champaran, Bettiah, Bihar, India, 845455, NARKATIAGANJ, PASHCHIM CHAMPARAN (Bihar) - 845455",--
326,CHANACHAL ASSOCIATION,"U86900BR2023NPL066446
PATNA (Bihar)","SHREE MAA MANSION,A-85,ANAND BIHAR COLONY,ROAD NO-3,BV COLLEGE,PATNA-800014, PATNA, PATNA (Bihar) - 800014",--
